------- 2018-10-25 16:52:17.401690 -------
fph_mode    ,damage_mode ,l_length    ,l_num_sqrs  ,l_time      ,f_aborted   ,f_sr_lnth   ,f_num_trps  ,f_num_dmgd  ,f_totdm_dgr ,f_dmdgr_rio ,f_dmcnt_rio ,f_dmpth_rio 
------- 2018-10-25 17:08:30.556381 -------
fph_mode    ,damage_mode ,l_length    ,l_num_sqrs  ,l_time      ,f_aborted   ,f_sr_lnth   ,f_num_trps  ,f_num_dmgd  ,f_totdm_dgr ,f_dmdgr_rio ,f_dmcnt_rio ,f_dmpth_rio 
OMNICIENT   ,NO DAMAGING ,       0.000,           1,           0,0           ,    1009.633,           0,           0,     3.80000,     0.00000,     0.00000,     0.00000
OMNICIENT   ,NO DAMAGING ,       0.000,           1,           0,0           ,     987.362,           0,           0,     3.80000,     0.00000,     0.00000,     0.00000
OMNICIENT   ,NO DAMAGING ,       0.000,           1,           0,0           ,     940.098,           0,           0,     3.80000,     0.00000,     0.00000,     0.00000
OMNICIENT   ,NO DAMAGING ,       0.000,           1,           0,0           ,     986.720,           0,           0,     3.80000,     0.00000,     0.00000,     0.00000
OMNICIENT   ,NO DAMAGING ,       0.000,           1,           0,0           ,    1035.075,           0,           0,     3.80000,     0.00000,     0.00000,     0.00000
OMNICIENT   ,SPREAD      ,       0.000,           1,           0,0           ,     976.732,           0,          19,     3.80000,     0.99578,     0.97889,     0.98483
OMNICIENT   ,SPREAD      ,       0.000,           1,           0,0           ,     954.391,           0,          19,     3.80000,     0.99578,     0.97889,     0.96230
OMNICIENT   ,SPREAD      ,       0.000,           1,           0,0           ,    1107.512,           0,          19,     3.80000,     0.99578,     0.97889,     1.11669
OMNICIENT   ,SPREAD      ,       0.000,           1,           0,0           ,    1085.121,           0,          19,     3.80000,     0.99578,     0.97889,     1.09412
OMNICIENT   ,SPREAD      ,       0.000,           1,           0,0           ,    1058.580,           0,          19,     3.80000,     0.99578,     0.97889,     1.06736
OMNICIENT   ,NO DAMAGING ,       0.000,           1,           0,0           ,    1024.438,           0,           0,    33.24000,     0.00000,     0.00000,     0.00000
OMNICIENT   ,NO DAMAGING ,       0.000,           1,           0,0           ,    1044.166,           0,           0,    33.24000,     0.00000,     0.00000,     0.00000
OMNICIENT   ,NO DAMAGING ,       0.000,           1,           0,0           ,    1014.816,           0,           0,    33.24000,     0.00000,     0.00000,     0.00000
OMNICIENT   ,NO DAMAGING ,       0.000,           1,           0,0           ,    1016.627,           0,           0,    33.24000,     0.00000,     0.00000,     0.00000
OMNICIENT   ,NO DAMAGING ,       0.000,           1,           0,0           ,     975.967,           0,           0,    33.24000,     0.00000,     0.00000,     0.00000
OMNICIENT   ,SPREAD      ,       0.000,           1,           0,0           ,    1042.130,           0,         150,    33.24000,     0.96307,     0.83222,     1.02652
OMNICIENT   ,SPREAD      ,       0.000,           1,           0,0           ,    1129.069,           0,         150,    33.24000,     0.96307,     0.83222,     1.11216
OMNICIENT   ,SPREAD      ,       0.000,           1,           0,0           ,    1133.106,           0,         150,    33.24000,     0.96307,     0.83222,     1.11614
OMNICIENT   ,SPREAD      ,       0.000,           1,           0,0           ,    1193.777,           0,         150,    33.24000,     0.96307,     0.83222,     1.17590
OMNICIENT   ,SPREAD      ,       0.000,           1,           0,0           ,    1038.237,           0,         150,    33.24000,     0.96307,     0.83222,     1.02269
OMNICIENT   ,NO DAMAGING ,       0.000,           1,           0,0           ,    1175.384,           0,           0,    88.19200,     0.00000,     0.00000,     0.00000
OMNICIENT   ,NO DAMAGING ,       0.000,           1,           0,0           ,    1020.021,           0,           0,    88.19200,     0.00000,     0.00000,     0.00000
OMNICIENT   ,NO DAMAGING ,       0.000,           1,           0,0           ,    1056.838,           0,           0,    88.19200,     0.00000,     0.00000,     0.00000
OMNICIENT   ,NO DAMAGING ,       0.000,           1,           0,0           ,    1051.115,           0,           0,    88.19200,     0.00000,     0.00000,     0.00000
OMNICIENT   ,NO DAMAGING ,       0.000,           1,           0,0           ,    1127.001,           0,           0,    88.19200,     0.00000,     0.00000,     0.00000
OMNICIENT   ,SPREAD      ,       0.000,           1,           0,1           ,    6622.758,           0,         307,    88.19200,     0.90201,     0.65778,     6.09790
OMNICIENT   ,SPREAD      ,       0.000,           1,           0,1           ,    6147.675,           0,         307,    88.19200,     0.90201,     0.65778,     5.66047
OMNICIENT   ,SPREAD      ,       0.000,           1,           0,0           ,    5792.213,           0,         307,    88.19200,     0.90201,     0.65778,     5.33318
OMNICIENT   ,SPREAD      ,       0.000,           1,           0,1           ,    8661.300,           0,         307,    88.19200,     0.90201,     0.65778,     7.97489
------- 2018-10-25 17:15:26.602354 -------
fph_mode    ,damage_mode ,l_length    ,l_num_sqrs  ,l_time      ,f_aborted   ,f_sr_lnth   ,f_num_trps  ,f_num_dmgd  ,f_totdm_dgr ,f_dmdgr_rio ,f_dmcnt_rio ,f_dmpth_rio 
OMNICIENT   ,NO DAMAGING ,       0.000,           1,           0,0           ,     951.059,           0,           0,     0.75000,     0.00000,     0.00000,     0.00000
OMNICIENT   ,NO DAMAGING ,       0.000,           1,           0,0           ,     999.038,           0,           0,     0.75000,     0.00000,     0.00000,     0.00000
OMNICIENT   ,NO DAMAGING ,       0.000,           1,           0,0           ,     989.096,           0,           0,     0.75000,     0.00000,     0.00000,     0.00000
OMNICIENT   ,NO DAMAGING ,       0.000,           1,           0,0           ,    1005.685,           0,           0,     0.75000,     0.00000,     0.00000,     0.00000
OMNICIENT   ,NO DAMAGING ,       0.000,           1,           0,0           ,     995.155,           0,           0,     0.75000,     0.00000,     0.00000,     0.00000
OMNICIENT   ,SPREAD      ,       0.000,           1,           0,0           ,     971.972,           0,          15,     0.75000,     0.99917,     0.98333,     0.98377
OMNICIENT   ,SPREAD      ,       0.000,           1,           0,0           ,     972.453,           0,          15,     0.75000,     0.99917,     0.98333,     0.98426
OMNICIENT   ,SPREAD      ,       0.000,           1,           0,0           ,    1044.737,           0,          15,     0.75000,     0.99917,     0.98333,     1.05742
OMNICIENT   ,SPREAD      ,       0.000,           1,           0,0           ,     994.068,           0,          15,     0.75000,     0.99917,     0.98333,     1.00614
